mesto,id_tekmovalca,tocke
1,1984,155.4
2,1995,149.8
3,2918,148.5
4,2010,147.0
5,2985,145.5
6,4143,138.3
7,2039,138.0
8,2092,136.2
9,2929,135.7
10,4141,135.0
11,2045,133.5
12,2033,131.7
13,2934,130.1
14,2009,129.3
15,1998,126.1
16,2062,126.0
17,1996,125.7
18,3023,123.4
19,1994,120.6
20,2927,119.1
21,1970,118.0
22,2067,117.8
22,4420,117.8
24,3012,116.4
25,4645,115.2
26,4321,111.9
27,1991,110.1
27,4613,110.1
29,2975,109.2
30,4880,106.9
31,1990,104.7
32,2998,103.7
33,3104,102.0
34,2611,98.7
35,4025,92.4
36,4041,87.9
37,4579,87.8
38,2819,87.0
39,2034,82.9
40,2915,82.5
41,2088,81.3
42,4259,80.6
43,4547,79.2
44,2113,78.9
45,2077,77.1
46,2036,74.7
47,3787,72.8
48,2917,68.8
49,2916,57.9
50,4947,34.8
1,2918,305.6
2,1995,299.7
3,2010,294.3
4,2062,294.2
5,2039,288.5
6,4143,284.8
7,1984,283.7
8,1991,282.9
9,2092,282.4
10,3012,274.7
11,2067,273.9
12,2009,273.4
13,2016,270.1
14,1998,269.6
15,4141,265.8
16,2033,263.1
17,2927,262.6
18,1996,253.7
19,2934,249.5
20,2985,245.6
21,2611,239.4
22,1994,231.2
23,2975,219.5
24,4025,218.6
25,2929,212.1
26,2998,207.5
27,4613,184.9
28,2088,183.2
29,2077,180.3
30,3787,170.0
31,2045,102.9
32,4645,101.1
33,4420,100.7
34,3023,97.4
35,4259,95.2
36,1970,93.9
37,2815,84.3
38,2915,82.9
39,4880,78.0
40,4561,74.7
41,2022,73.0
42,4041,61.2
43,4321,49.8
44,4947,48.3
45,2917,46.7
46,1990,46.1
47,2819,45.6
48,4547,45.3
49,4593,20.0
50,3104,15.4
1,3012,270.3
2,1984,267.6
3,2010,266.1
4,2062,264.3
5,4143,256.6
6,2039,254.4
7,4141,252.6
8,2917,249.8
9,2067,249.3
10,1991,248.4
11,2815,247.4
12,2016,244.3
13,2092,243.9
14,2929,243.5
15,1996,241.5
16,2927,241.2
17,4880,240.4
18,2033,240.3
19,2022,238.0
20,1995,236.5
21,2009,227.4
22,1994,226.1
23,4645,224.9
24,2947,221.0
25,1998,220.5
26,3071,217.2
