prizorisce,drzava_prizorisca,datum,velikost_skakalnice
Kuusamo,FIN,26.11.2005,142
Kuusamo,FIN,26.11.2005,142
Lahti,FIN,05.03.2006,130
Kuopio,FIN,07.03.2006,127
Sapporo Okurayama,JPN,21.01.2006,134
Sapporo Okurayama,JPN,22.01.2006,134
Planica,SLO,18.03.2006,215
Zakopane,POL,28.01.2006,134
Zakopane,POL,29.01.2006,134
Harrachov,CZE,10.12.2005,142
Harrachov,CZE,11.12.2005,142
Innsbruck,AUT,04.01.2006,130
Bischofshofen,AUT,06.01.2006,140
Planica,SLO,19.03.2006,215
Lillehammer,NOR,03.12.2005,131
Lillehammer,NOR,04.12.2005,131
Lillehammer,NOR,10.03.2006,134
Oslo,NOR,12.03.2006,128
Engelberg,SUI,18.12.2005,137
Oberstdorf,GER,29.12.2005,137
Garmisch-Partenkirchen,GER,01.01.2006,125
Willingen,GER,04.02.2006,145
Planica,SLO,24.03.2007,215
Planica,SLO,25.03.2007,215
Zakopane,POL,20.01.2007,134
Engelberg,SUI,16.12.2006,137
Engelberg,SUI,17.12.2006,137
Kuusamo,FIN,24.11.2006,142
Lahti,FIN,11.03.2007,130
Kuopio,FIN,13.03.2007,127
Oberstdorf,GER,30.12.2006,137
Garmisch-Partenkirchen,GER,01.01.2007,125
Oberstdorf,GER,27.01.2007,137
Oberstdorf,GER,28.01.2007,137
Titisee-Neustadt,GER,03.02.2007,142
Titisee-Neustadt,GER,04.02.2007,142
Willingen,GER,10.02.2007,145
Lillehammer,NOR,02.12.2006,134
Lillehammer,NOR,03.12.2006,134
Oslo,NOR,17.03.2007,128
Oslo,NOR,18.03.2007,128
Vikersund,NOR,13.01.2007,207
Planica,SLO,23.03.2007,215
Innsbruck,AUT,04.01.2007,130
Bischofshofen,AUT,07.01.2007,140
Sapporo Okurayama,JPN,02.02.2008,134
Sapporo Okurayama,JPN,03.02.2008,134
Villach,AUT,13.12.2007,98
Planica,SLO,14.03.2008,215
Planica,SLO,16.03.2008,215
Engelberg,SUI,22.12.2007,137
Engelberg,SUI,23.12.2007,137
Kuusamo,FIN,01.12.2007,142
Kuopio,FIN,03.03.2008,127
Lahti,FIN,01.03.2008,70
Kuopio,FIN,04.03.2008,127
Zakopane,POL,25.01.2008,134
Zakopane,POL,27.01.2008,134
Val di Fiemme,ITA,12.01.2008,134
Val di Fiemme,ITA,13.01.2008,134
Villach,AUT,14.12.2007,98
Bischofshofen,AUT,05.01.2008,140
Bischofshofen,AUT,06.01.2008,140
Trondheim,NOR,08.12.2007,131
Trondheim,NOR,09.12.2007,131
Oslo,NOR,09.03.2008,128
