id_tekmovalca,tekmovalec,leto_rojstva,drzava
1984,JANDA Jakub,1978,CZE
1995,AHONEN Janne,1977,FIN
2918,KRANJEC Robert,1981,SLO
2010,UHRMANN Michael,1978,GER
2985,FORFANG Daniel,1979,NOR
4143,MORGENSTERN Thomas,1986,AUT
2039,MALYSZ Adam,1977,POL
2092,WIDHOELZL Andreas,1976,AUT
2929,BYSTOEL Lars,1978,NOR
4141,KOFLER Andreas,1984,AUT
2045,PETERKA Primoz,1979,SLO
2033,LJOEKELSOEY Roar,1976,NOR
2934,BARDAL Anders,1982,NOR
2009,SPAETH Georg,1981,GER
1998,SCHMITT Martin,1978,GER
2062,KUETTEL Andreas,1979,SUI
1996,KIURU Tami,1976,FIN
3023,PIKL Primoz,1982,SLO
1994,JUSSILAINEN Risto,1975,FIN
2927,NEUMAYER Michael,1979,GER
1970,HOELLWARTH Martin,1974,AUT
2067,AMMANN Simon,1981,SUI
4420,ICHINOHE Tsuyoshi,1976,JPN
3012,HAPPONEN Janne,1984,FIN
4645,SALUMAE Jens,1981,EST
4321,STOCH Kamil,1987,POL
1991,HAUTAMAEKI Matti,1981,FIN
4613,IPATOV Dimitri,1984,RUS
2975,RITZERFELD Joerg,1983,GER
4880,KORNILOV Denis,1986,RUS
1990,HAUTAMAEKI Jussi,1979,FIN
2998,BENKOVIC Rok,1986,SLO
3104,SINKOVEC Jure,1985,SLO
2611,IKONEN Joonas,1987,FIN
4025,DAMJAN Jernej,1983,SLO
4041,LAZZARONI David,1985,FRA
4579,CHAADAEV Petr,1987,BLR
2819,CHEDAL Emmanuel,1983,FRA
2034,MATEJA Robert,1974,POL
2915,YLIRIESTO Kimmo,1983,FIN
2088,LOITZL Wolfgang,1980,AUT
4259,ITO Daiki,1985,JPN
4547,LAPPI Arttu,1984,FIN
2113,MOELLINGER Michael,1980,SUI
2077,ALBORN Alan,1980,USA
2036,BACHLEDA Marcin,1982,POL
3787,ZHAPAROV Radik,1984,KAZ
2917,ROMOEREN Bjoern Einar,1981,NOR
2916,RUUSKANEN Juha-Matti,1984,FIN
4947,ANISIMOV Maksim,1983,BLR
2016,OKABE Takanobu,1970,JPN
2815,KOCH Martin,1982,AUT
4561,READ Stefan,1987,CAN
2022,KASAI Noriaki,1972,JPN
4593,HAJEK Antonin,1987,CZE
2947,MATURA Jan,1980,CZE
3071,PETTERSEN Sigurd,1980,NOR
2813,VASSILIEV Dimitri,1979,RUS
4580,OLLI Harri,1985,FIN
4186,COLLOREDO Sebastian,1987,ITA
4615,LANDERT Guido,1985,SUI
4015,HOCKE Stephan,1983,GER
2928,FETTNER Manuel,1985,AUT
2812,SOLEM Morten,1980,NOR
2030,INGEBRIGTSEN Tommy,1977,NOR
2931,MECHLER Maximilian,1984,GER
3157,JONES Clint,1984,USA
2999,SEDLAK Borek,1981,CZE
4333,URBANC Rok,1985,SLO
2900,FATCHULLIN Ildar,1982,RUS
4236,VACULIK Ondrej,1986,CZE
4706,LACKNER Daniel,1987,AUT
2031,STENSRUD Henning,1977,NOR
2933,SAKANO Yukio,1976,JPN
1971,SCHWARZENBERGER Reinhard,1977,AUT
2018,YOSHIOKA Kazuya,1978,JPN
2020,MIYAHIRA Hideharu,1973,JPN
4325,ZYLA Piotr,1987,POL
2965,SCHNEIDER Balthasar,1984,AUT
2169,RADELJ Jure,1977,SLO
2941,UENO Shingo,1973,JPN
4748,KARAULOV Ivan,1980,KAZ
4734,SLIZ Rafal,1983,POL
2852,WATASE Yuta,1982,JPN
2919,YAMADA Hiroki,1982,JPN
2530,TOCHIMOTO Shohhei,1989,JPN
4963,ITO Kenshiro,1990,JPN
2976,POCHWALA Tomasz,1983,POL
2041,MESIK Martin,1979,SVK
2025,CHOI Heung-Chul,1981,KOR
4210,KUERSCHNER Mario,1985,GER
1901,TIAN Zhandong,1983,CHN
4237,MAZOCH Jan,1985,CZE
4737,DAMJAN Anze,1987,SLO
4215,MUSIOL Julian,1986,GER
1972,THURNBICHLER Stefan,1984,AUT
2024,KIM Hyun-Ki,1983,KOR
1900,LI Yang,1980,CHN
2901,BRACHT Kai,1978,GER
4176,GRIMHOLM Isak,1985,SWE
4174,ERIKSON Johan,1985,SWE
4334,ZUPAN Bine,1984,SLO
4322,HULA Stefan,1986,POL
2004,HERR Alexander,1978,GER
2037,DLUGOPOLSKI Kristian,1980,POL
4724,MORASSI Andrea,1988,ITA
2945,JURIS Jaan,1977,EST
4559,BAXTER Gregory,1989,CAN
4336,BOSCHUK Volodymyr,1982,UKR
2026,CHOI Yong-Jik,1982,KOR
2035,SKUPIEN Wojciech,1976,POL
3028,VACULIK Frantisek,1984,CZE
4144,MUELLER Roland,1986,AUT
3044,HAFELE Mathias,1983,AUT
4012,KALTENBOECK Bastian,1983,AUT
5064,HILDE Tom,1987,NOR
2119,HIGASHI Akira,1972,JPN
2939,LOBBEN Thomas,1983,NOR
2987,DESCOMBES SEVOIE Vincent,1984,FRA
4602,VILBERG Andreas,1985,NOR
5040,SCHLIERENZAUER Gregor,1990,AUT
4646,TEPES Jurij,1989,SLO
4226,WANK Andreas,1988,GER
4177,GRIMHOLM Jakob,1986,SWE
4551,PLEKHOV Evgeni,1982,RUS
1906,KARPENKO Nikolay,1981,KAZ
2556,KOBELEV Valery,1973,RUS
4550,SILAEV Alexey,1984,RUS
4889,JACOBSEN Anders,1985,NOR
4782,SIMON Erik,1987,GER
4367,TAKEUCHI Taku,1987,JPN
2660,PAULI Arthur,1989,AUT
2903,LINDSTROEM Veli-Matti,1983,FIN
5038,INNAUER Mario,1990,AUT
4664,ROSLIAKOV Ilja,1983,RUS
4801,KOUDELKA Roman,1989,CZE
5404,ULMER Christian,1984,GER
2970,KEITURI Kalle,1984,FIN
2095,HAKOLA Lauri,1979,FIN
4173,AREN Andreas,1985,SWE
3090,HLAVA Lukas,1984,CZE
4882,AARAAS Jon,1986,NOR
4184,BOLOGNANI Alessio,1983,ITA
2138,HORLACHER Kevin,1989,GER
4597,TAHTAHUNOV Asan,1986,KAZ
4774,FALLER Nico,1988,GER
2049,ZONTA Peter,1979,SLO
2129,BODMER Pascal,1991,GER
5053,HRGOTA Robert,1988,SLO
2178,SCHOFT Felix,1990,GER
2920,LIEGL Florian,1983,AUT
4379,YUMOTO Fumihisa,1984,JPN
2546,KARELIN Pavel,1990,RUS
3037,TAKAYANAGI Taro,1982,JPN
4009,BOGATAJ Jure,1985,SLO
4269,TANAKA Shota,1986,JPN
4024,HOSOYAMA Shusaku,1984,JPN
4643,CIKL Martin,1987,CZE
5298,KOT Maciej,1991,POL
4922,SHUMBARETS Vitaliy,1983,UKR
4939,MEZNAR Mitja,1988,SLO
5360,NIEMI Sami,1991,FIN
5396,LARINTO Ville,1990,FIN
4197,FREUND Severin,1988,GER
4920,LASAROVICH Oleksander,1984,UKR
5188,MAYER Nicolas,1990,FRA
5141,RUTKOWSKI Lukasz,1988,POL
5068,ELVERUM SORSELL Kim Rene,1988,NOR
2061,GUIGNARD Antoine,1984,SUI
5302,MIETUS Krzysztof,1991,POL
3006,KANG Chil Gu,1984,KOR
1974,KAISER Stefan,1983,AUT
4715,THURNBICHLER Thomas,1989,AUT
5353,KJELSTRUP Eirik,1989,NOR
5181,GANGNES Kenneth,1989,NOR
5062,MAZOCH Jiri,1990,CZE
2136,BOGNER Tobias,1990,GER
5186,EGGENHOFER Markus,1987,AUT
2186,KRAMARSIC Matic,1990,SLO
5355,KAUHANEN Mika,1989,FIN
5749,EVENSEN Johan Remen,1985,NOR
5193,INGVALDSEN Ole Marius,1985,NOR
1905,KOROLEV Alex,1987,KAZ
1967,ZMORAY Tomas,1989,SVK
4764,FAIRALL Nicholas,1989,USA
4626,JOHNSON Anders,1989,USA
4678,BOYD-CLOWES Mackenzie,1991,CAN
5063,KOZISEK Cestmir,1991,CZE
5710,KOVALJEFF Kai,1985,FIN
2021,FUNAKI Kazuyoshi,1975,JPN
5904,SKLETT Vegard,1986,NOR
2130,UMEZAKI Keita,1981,JPN
4302,OSANAI Yoshihiko,1985,JPN
5750,MUELLER Lukas,1992,AUT
4720,DELLASEGA Roberto,1990,ITA
5168,ZOGRAFSKI Vladimir,1993,BUL
5324,DELLASEGA Diego,1990,ITA
5115,NORDIN Carl,1989,SWE
1950,DE CRIGNIS Alessio,1990,ITA
5297,KOT Jakub,1990,POL
5142,KUBACKI Dawid,1990,POL
5789,KARPENKO Anatoliy,1987,KAZ
5590,EGLOFF Pascal,1992,SUI
5219,ALEXANDER Nicholas,1988,USA
4692,FRANCAIS Remi,1989,SUI
5972,FANNEMEL Anders,1991,NOR
5174,STJERNEN Andreas,1988,NOR
5658,PREVC Peter,1992,SLO
6311,KOKKONEN Akseli,1984,NOR
5564,FREITAG Richard,1991,GER
5288,HAYBOECK Michael,1991,AUT
1945,UNTERBERGER David,1988,AUT
6296,ZAUNER David,1985,AUT
5185,MUOTKA Olli,1988,FIN
5521,SAKUYAMA Kento,1990,JPN
2805,GLASDER Michael,1989,USA
5301,MIETUS Grzegorz,1993,POL
5745,ZAPOTOCZNY Andrzej,1991,POL
1922,GRIGOLI Marco,1991,SUI
4299,ENDO Shuji,1986,JPN
5442,SCHABEREITER Florian,1991,AUT
5468,OSHEPKOV Stanislav,1989,RUS
6033,CHERVYAKOV Georgiy,1990,RUS
5760,TROFIMOV Roman-Sergeevich,1989,RUS
1951,PAERN Illimar,1988,EST
5067,ROENSEN Atle Pedersen,1988,NOR
5987,VELTA Rune,1989,NOR
5796,MAEAETTAE Jarkko,1994,FIN
5119,KOIVURANTA Anssi,1988,FIN
5493,BYRT Tomasz,1993,POL
5438,DIETHART Thomas,1992,AUT
5037,HAYBOECK Stefan,1989,AUT
5039,POPPINGER Manuel,1989,AUT
5026,NAGLIC Tomaz,1989,SLO
2177,QUECK Danny,1989,GER
5123,BALKAASEN Fredrik,1989,SWE
5336,FRENETTE Peter,1992,USA
5803,DE LEEUW Yukon,1993,CAN
5326,MURANKA Klemens,1994,POL
5443,ZIMA Rok,1988,SLO
5284,PUNGERTAR Matjaz,1990,SLO
2708,BRESADOLA Davide,1988,ITA
4957,SWENSEN Vegard,1986,NOR
5479,JUDEZ Dejan,1990,SLO
5253,EISENBICHLER Markus,1991,GER
5451,KOBAYASHI Junshiro,1991,JPN
5481,WINKLER David,1989,GER
5494,ZNISZCZOL Aleksander,1994,POL
5607,LEVKIN Yevgeniy,1992,KAZ
5435,DESCHWANDEN Gregor,1991,SUI
2874,KALINITSCHENKO Anton,1982,RUS
6145,NURMSALU Kaarel,1991,EST
5891,HVALA Jaka,1993,SLO
5676,DEZMAN Nejc,1992,SLO
5429,ZIOBRO Jan,1991,POL
5988,BRANDT Johan Martin,1987,NOR
6414,STURSA Vojtech,1995,CZE
5320,MABBOUX Alexandre,1991,FRA
5497,KRAFT Stefan,1993,AUT
5764,SARDYKO Alexander,1990,RUS
5114,PCHELINTSEV Alexey,1991,KAZ
5547,KLUSEK Bartlomiej,1993,POL
5397,HEISKANEN Sami,1991,FIN
5522,SUZUKI Sho,1990,JPN
5466,HAZETDINOV Ilmir,1991,RUS
6696,WELLINGER Andreas,1995,GER
5567,GEIGER Karl,1993,GER
5963,SHIMIZU Reruhi,1993,JPN
